lambda (um),flam at wd surface (erg/cm^2/s/A)
0.004,4.3983868294259183e-85
0.00404,4.1849100758023126e-85
0.00408,3.9837570752016005e-85
0.004121,3.789477482965108e-85
0.004162,3.606484316283638e-85
0.004204,3.429874717417619e-85
0.004246,3.263580712104345e-85
0.004289,3.1032178913060544e-85
0.004331,2.95563011582956e-85
0.004375,2.8099764946967374e-85
0.004418,2.675859441508831e-85
0.004463,2.5436583357056864e-85
0.004507,2.421897935410491e-85
0.004553,2.3019888621354882e-85
0.004598,2.1915312579553568e-85
0.004644,2.085126477109554e-85
0.00469,1.9848641312050865e-85
0.004737,1.8883198347774712e-85
0.004785,1.7954964290715797e-85
0.004833,1.708074043404489e-85
0.004881,1.6257354146764812e-84
0.00493,1.546526705245584e-84
0.004979,1.4719120245132308e-84
0.005029,1.4001858795106954e-84
0.005079,1.3326010282301875e-84
0.00513,1.2676705996841157e-84
0.005181,1.2064927329872587e-84
0.005233,1.147732800325239e-84
0.005285,1.0923671925153901e-84
0.005338,1.0392009898906593e-84
0.005391,9.891171651379404e-85
0.005446,9.401644480992542e-85
0.0055,8.94911526415573e-85
0.005555,8.514761781924514e-85
0.00561,8.105482659300709e-85
0.005667,7.70595975315478e-85
0.005723,7.336257244316689e-85
0.005781,6.975548529885701e-85
0.005838,6.641604188023405e-85
0.005897,6.315937134279172e-85
0.005955,6.01428694499528e-85
0.006015,5.720241601484054e-85
0.006075,5.4432970004177e-85
0.006136,5.178056728533687e-85
0.006197,4.928164542900063e-85
0.00626,4.6851324348668865e-85
0.006322,4.459855373391171e-85
0.006385,4.2441297302327105e-85
0.006449,4.037673208176862e-85
0.006514,3.840210831603236e-85
0.006579,3.654208143267926e-85
0.006645,3.4763078968867543e-85
0.006711,3.3086929366300653e-85
0.006778,3.1483627599603606e-85
0.006846,2.995076808903765e-85
0.006914,2.850660035244725e-85
0.006983,2.7125871224213814e-85
0.007053,2.5806164673483634e-85
0.007124,2.4545576603500433e-85
0.007195,2.3358207106957778e-85
0.007267,2.2223714301401134e-85
0.00734,2.114037002196848e-85
0.007413,2.011981058427401e-85
0.007487,1.914497480635567e-85
0.007562,1.8214207185746417e-85
