lambda (um),fnu (uJy),flamb (erg/cm^2/s/A),flamb (erg/cm^2/s/cm),fnu (Jy)
0.004,2.73471e-93,5.124033955107376e-107,5.124033955107375e-99,2.7347099999999997e-99
0.00404,2.65428e-93,4.875337745198021e-107,4.87533774519802e-99,2.65428e-99
0.00408,2.57698e-93,4.640998464634035e-107,4.6409984646340344e-99,2.57698e-99
0.004121,2.50082e-93,4.4146665693254686e-107,4.414666569325468e-99,2.50082e-99
0.004162,2.42765e-93,4.201483137310041e-107,4.201483137310041e-99,2.42765e-99
0.004204,2.3556e-93,3.9957364359664725e-107,3.995736435966472e-99,2.3556e-99
0.004246,2.2864e-93,3.8020071977704677e-107,3.802007197770467e-99,2.2864e-99
0.004289,2.21831e-93,3.615187672618678e-107,3.615187672618678e-99,2.21831e-99
0.004331,2.15439e-93,3.4432508234445853e-107,3.4432508234445847e-99,2.15439e-99
0.004375,2.09005e-93,3.2735672259547435e-107,3.273567225954743e-99,2.0900499999999998e-99
0.004418,2.02961e-93,3.1173235027114495e-107,3.117323502711449e-99,2.0296100000000002e-99
0.004463,1.96884e-93,2.963311820404172e-107,2.9633118204041717e-99,1.96884e-99
0.004507,1.91174e-93,2.821463354206059e-107,2.8214633542060586e-99,1.91174e-99
0.004553,1.85437e-93,2.6817716474930394e-107,2.681771647493039e-99,1.85437e-99
0.004598,1.80046e-93,2.5530907159678154e-107,2.553090715967815e-99,1.80046e-99
0.004644,1.74749e-93,2.4291312437376716e-107,2.4291312437376713e-99,1.74749e-99
0.00469,1.69658e-93,2.3123275871342654e-107,2.312327587134265e-99,1.69658e-99
0.004737,1.64657e-93,2.1998553848810538e-107,2.1998553848810533e-99,1.64657e-99
0.004785,1.59752e-93,2.091717946972307e-107,2.0917179469723067e-99,1.5975199999999999e-99
0.004833,1.55038e-93,1.9898725909436433e-107,1.989872590943643e-99,1.55038e-99
0.004881,1.5050999999999998e-92,1.8939497115377957e-106,1.8939497115377956e-98,1.5050999999999997e-98
0.00493,1.4606599999999998e-92,1.80167312641599e-106,1.8016731264159898e-98,1.4606599999999997e-98
0.004979,1.41796e-92,1.714748494170314e-106,1.7147484941703136e-98,1.41796e-98
0.005029,1.37609e-92,1.6311889491109456e-106,1.6311889491109453e-98,1.3760899999999999e-98
0.005079,1.33584e-92,1.552453929604395e-106,1.5524539296043947e-98,1.3358399999999999e-98
0.00513,1.2964e-92,1.4768112602593774e-106,1.4768112602593772e-98,1.2963999999999999e-98
0.005181,1.25849e-92,1.4055402514980486e-106,1.4055402514980483e-98,1.2584899999999998e-98
0.005233,1.22135e-92,1.3370860882248946e-106,1.3370860882248944e-98,1.2213499999999999e-98
0.005285,1.18565e-92,1.272586246495455e-106,1.2725862464954548e-98,1.1856499999999999e-98
0.005338,1.15068e-92,1.2106486684519164e-106,1.2106486684519163e-98,1.15068e-98
0.005391,1.11708e-92,1.1523019998693183e-106,1.152301999869318e-98,1.11708e-98
0.005446,1.08357e-92,1.0952730494771286e-106,1.0952730494771284e-98,1.0835699999999999e-98
0.0055,1.05197e-92,1.0425542877430085e-106,1.0425542877430084e-98,1.0519699999999999e-98
0.005555,1.02103e-92,9.919529632623607e-107,9.919529632623606e-99,1.02103e-98
0.00561,9.91294e-93,9.442727522493003e-107,9.442727522493002e-99,9.91294e-99
0.005667,9.61681e-93,8.977291212244204e-107,8.977291212244203e-99,9.61681e-99
0.005723,9.33727e-93,8.546595077038193e-107,8.546595077038192e-99,9.33727e-99
0.005781,9.05904e-93,8.12637653503043e-107,8.12637653503043e-99,9.05904e-99
0.005838,8.79628e-93,7.737337959484828e-107,7.737337959484826e-99,8.79628e-99
0.005897,8.53489e-93,7.357942261434542e-107,7.357942261434541e-99,8.534889999999998e-99
0.005955,8.28792e-93,7.006525737059179e-107,7.006525737059178e-99,8.287919999999999e-99
0.006015,8.04236e-93,6.663968708101955e-107,6.663968708101954e-99,8.04236e-99
0.006075,7.80643e-93,6.341333707002499e-107,6.341333707002498e-99,7.80643e-99
0.006136,7.57592e-93,6.032334018684272e-107,6.032334018684271e-99,7.57592e-99
0.006197,7.35438e-93,5.741214548305673e-107,5.741214548305672e-99,7.35438e-99
0.00626,7.13458e-93,5.458086933105474e-107,5.458086933105473e-99,7.13458e-99
0.006322,6.92672e-93,5.195643597156544e-107,5.195643597156543e-99,6.92672e-99
0.006385,6.7237e-93,4.944327475269283e-107,4.944327475269282e-99,6.723699999999999e-99
0.006449,6.5255e-93,4.7038096967532846e-107,4.7038096967532835e-99,6.5255e-99
0.006514,6.33211e-93,4.4737699204311293e-107,4.4737699204311285e-99,6.33211e-99
0.006579,6.14626e-93,4.257080455012785e-107,4.257080455012784e-99,6.14626e-99
0.006645,5.96494e-93,4.04983017475536e-107,4.049830174755359e-99,5.964939999999999e-99
0.006711,5.79067e-93,3.8545620500889924e-107,3.854562050088992e-99,5.790669999999999e-99
0.006778,5.62064e-93,3.6677805547035224e-107,3.667780554703522e-99,5.62064e-99
0.006846,5.45481e-93,3.4892054433012714e-107,3.4892054433012708e-99,5.45481e-99
0.006914,5.29544e-93,3.320962748737601e-107,3.3209627487376e-99,5.29544e-99
0.006983,5.14003e-93,3.160110526997083e-107,3.1601105269970824e-99,5.14003e-99
0.007053,4.98849e-93,3.006367315247749e-107,3.0063673152477488e-99,4.98849e-99
0.007124,4.84082e-93,2.8595112899708577e-107,2.859511289970857e-99,4.84082e-99
0.007195,4.69893e-93,2.7211850841710506e-107,2.72118508417105e-99,4.69893e-99
0.007267,4.56063e-93,2.5890189086403728e-107,2.5890189086403726e-99,4.56063e-99
0.00734,4.42591e-93,2.4628114355789637e-107,2.4628114355789635e-99,4.42591e-99
0.007413,4.29645e-93,2.3439182728183282e-107,2.343918272818328e-99,4.29645e-99
0.007487,4.17031e-93,2.230351826290953e-107,2.2303518262909526e-99,4.17031e-99
0.007562,4.04745e-93,2.121919233222762e-107,2.1219192332227615e-99,4.04745e-99
0.007638,3.92782e-93,2.0184266515947033e-107,2.018426651594703e-99,3.92782e-99
0.007714,3.8128700000000002e-93,1.920938372682991e-107,1.9209383726829905e-99,3.81287e-99
0.007791,3.70093e-93,1.827869411020365e-107,1.8278694110203647e-99,3.70093e-99
0.007869,3.59196e-93,1.7390541457025982e-107,1.739054145702598e-99,3.5919599999999998e-99
0.007948,3.48592e-93,1.6543309778396014e-107,1.6543309778396012e-99,3.48592e-99
0.008027,3.38401e-93,1.5745114191835336e-107,1.5745114191835334e-99,3.3840099999999996e-99
0.008108,3.28359e-93,1.4974148896839812e-107,1.497414889683981e-99,3.28359e-99
0.008188,3.18829e-93,1.4256826090250215e-107,1.4256826090250213e-99,3.18829e-99
0.008271,3.09327e-93,1.355571691570554e-107,1.3555716915705537e-99,3.0932699999999996e-99
0.008353,3.00306e-93,1.2903268945002194e-107,1.2903268945002191e-99,3.00306e-99
0.008437,2.9142500000000002e-93,1.2273584299729056e-107,1.2273584299729053e-99,2.91425e-99
0.008521,2.8289e-93,1.1680385271203814e-107,1.1680385271203813e-99,2.8289e-99
0.008607,2.74495e-93,1.110840064680359e-107,1.1108400646803589e-99,2.74495e-99
